"Path","LineNumber","SourceText","Category","Priority","SuggestedKey","Module","Status"
"ViewModels/MainViewModel.Execution.cs","100","开始处理 {processableCount} 个文件，已提前跳过 {preflightFailedCount} 个不符合当前模式的文件。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","128","正在处理，正在估算总进度...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line128.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","129","正在处理第 {currentItemOrdinal} / {totalProcessableCount} 个文件：{item.InputFileName}","ViewModelMessage","P0","mainWindow.mainViewModelExecution.statusMessage.status","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","138","正在处理当前文件，暂时无法估算总进度。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line138.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","139","等待 FFmpeg 返回实时进度...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line139.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","150","正在处理当前文件，暂时无法估算总进度。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line150.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","167","{item.InputFileName} 的 GPU 转码未成功，已自动回退为 CPU 重新尝试一次。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line167.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","178","已回退为 CPU，正在重新尝试并估算进度。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line178.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","179","已回退为 CPU，正在重新尝试...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line179.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","190","用时 {elapsedText}","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line190.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","190","用时 {elapsedText}（已自动回退 CPU）","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line190.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","198","{item.InputFileName} 已在回退到 CPU 后处理成功，用时 {elapsedText}。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line198.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","199","{item.InputFileName} 处理成功，用时 {elapsedText}。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line199.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","209","任务已取消，未完成的文件已停止处理。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","214","原因：{failureMessage}","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line214.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","217","{item.InputFileName} 处理失败，用时 {elapsedText}。原因：{failureMessage}","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","229","任务已取消，正在整理当前结果...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line229.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","230","处理完成，正在整理结果...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line230.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","233","任务已取消，成功 {successCount} 个，失败 {failedCount} 个，取消 {cancelledCount} 个。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line233.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","235","全部处理完成，共成功 {successCount} 个文件。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line235.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","236","处理完成，成功 {successCount} 个，失败 {failedCount} 个。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line236.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","250","任务已取消，已取消 {cancelledCount} 个未完成文件。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line250.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","251","任务已取消。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line251.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","252","任务已取消，未完成的文件已停止处理。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","256","处理过程中发生异常。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.statusMessage.status","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","257","批量处理流程被异常中断。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","258","批量处理被中断。原因：{exception.Message}","ViewModelMessage","P0","mainWindow.mainViewModelExecution.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","276","正在取消当前任务...","ViewModelMessage","P0","mainWindow.mainViewModelExecution.statusMessage.status","main-window","Pending"
